Agency,Program or Activity ,Fiscal Year, Confirmed Fraud 
BBG,BBG,2017, $ 0.00 
BBG,Domestic Payroll,2017, $ 0.01 
CFTC,Agency Wide,2022, $ -
CFTC,Agency Wide,2023, $ -   
CFTC,Agency Wide,2024, $ -   
CNCS,Agency Wide,2022, $ 2.15 
CNCS,Agency Wide,2023, $ 0.33 
CNCS,Agency Wide,2024, $ 0.07 
CNCS,AmeriCorps National Civilian Community Corps (NCCC),2021, $ -   
CNCS,AmeriCorps State and National,2019, $ 0.00 
CNCS,AmeriCorps State and National,2020, $ 2.56 
CNCS,AmeriCorps State and National,2021, $ 1.94 
CNCS,AmeriCorps State Service Commission Grants,2021, $ -   
CNCS,AmeriCorps Volunteers in Service to America (VISTA),2021, $ -   
CNCS,FGP,2019, $ 1.14 
CNCS,National Service Trust,2021, $ -   
CNCS,Office of Human Capital (Payroll),2021, $ -   
CNCS,Office of Procurement Services,2021, $ -   
CNCS,The Foster Grandparent Program (FGP),2020, $ 0.08 
CNCS,The Foster Grandparent Program (FGP),2021, $ 0.03 
CNCS,The Retired and Senior Volunteer Program (RSVP),2021, $ -   
CNCS,The Senior Companion Program (SCP),2020, $ 0.06 
CNCS,The Senior Companion Program (SCP),2021, $ -   
CPSC,Agency Wide,2022, $ -   
CPSC,Agency Wide,2024, $ -   
CPSC,Non-Payroll,2019, $ -   
CPSC,Non-Payroll,2020, $ -   
CPSC,Non-Payroll,2021, $ -   
CPSC,Payroll - Consumer Product Safety Commission,2021, $ -   
CSOSA,Agency Wide,2022, $ -   
CSOSA,Agency Wide,2023, $ -   
DFC,Agency Wide,2024, $ -   
DHS,Agency Wide,2022, $ 15.83 
DHS,Agency Wide,2023, $ 26.14 
DHS,Agency Wide,2024, $ 28.89 
DHS,CBP,2017, $ 0.37 
DHS,CBP,2018, $ 3.30 
DHS,CBP,2019, $ 11.98 
DHS,CBP,2020, $ 14.46 
DHS,CIS,2018, $ 9.10 
DHS,Countering Weapons of Mass Destruction,2021, $ -   
DHS,Countering Weapons of Mass Destruction Office (CWMD) - Chemical and Biological Readiness: Biological,2021, $ -   
DHS,Countering Weapons of Mass Destruction Office (CWMD) - Federal Assistance,2021, $ -   
DHS,Countering Weapons of Mass Destruction Office (CWMD) - Health and Medical Readiness,2021, $ -   
DHS,Countering Weapons of Mass Destruction Office (CWMD) - Integrated Operations,2021, $ -   
DHS,Countering Weapons of Mass Destruction Office (CWMD) - Mission Support,2021, $ -   
DHS,Countering Weapons of Mass Destruction Office (CWMD) - Operations & Support,2021, $ -   
DHS,"Countering Weapons of Mass Destruction Office (CWMD) - Procurement, Construction, and Improvement",2021, $ -   
DHS,Countering Weapons of Mass Destruction Office (CWMD) - Research & Development,2021, $ -   
DHS,Customs and Border Protection,2021, $ -   
